accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.65733;0.64771;"[0.68       0.64       0.68666667 0.67333333 0.66       0.67333333
 0.67333333 0.60666667 0.69333333 0.58666667]";"[0.62571429 0.62857143 0.66       0.62571429 0.67142857 0.68285714
 0.64285714 0.63714286 0.63428571 0.66857143]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.658;0.648;"[0.68       0.64       0.68666667 0.67333333 0.66       0.67333333
 0.67333333 0.61333333 0.69333333 0.58666667]";"[0.62571429 0.62571429 0.65714286 0.62571429 0.67142857 0.68285714
 0.64857143 0.63714286 0.63714286 0.66857143]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.65533;0.66057;"[0.68       0.64       0.66666667 0.67333333 0.66       0.67333333
 0.66666667 0.58       0.70666667 0.60666667]";"[0.63142857 0.63428571 0.68571429 0.64285714 0.68       0.69142857
 0.64571429 0.66571429 0.66285714 0.66571429]";[ 1 -1  1 ... -1  1  1];"[[0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 8.40040175e-107]
 [0.00000000e+000 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.656;0.66057;"[0.68       0.63333333 0.66666667 0.67333333 0.66666667 0.67333333
 0.66666667 0.58666667 0.70666667 0.60666667]";"[0.63142857 0.63142857 0.68857143 0.64285714 0.68285714 0.69714286
 0.64285714 0.66285714 0.66       0.66571429]";[ 1 -1  1 ... -1  1  1];"[[0.0000000e+000 1.0000000e+000]
 [1.0000000e+000 0.0000000e+000]
 [0.0000000e+000 1.0000000e+000]
 ...
 [1.0000000e+000 9.8521608e-129]
 [0.0000000e+000 1.0000000e+000]
 [0.0000000e+000 1.0000000e+000]]";"[[0.0000000e+000 1.0000000e+000]
 [0.0000000e+000 1.0000000e+000]
 [1.0000000e+000 0.0000000e+000]
 ...
 [1.0000000e+000 0.0000000e+000]
 [0.0000000e+000 1.0000000e+000]
 [2.7287316e-291 1.0000000e+000]]"
0.66867;0.694;"[0.72       0.66       0.64       0.69333333 0.69333333 0.64666667
 0.65333333 0.61333333 0.72       0.64666667]";"[0.72285714 0.68285714 0.72857143 0.66       0.67714286 0.70285714
 0.72       0.68285714 0.69142857 0.67142857]";[ 1  1  1 ... -1  1  1];"[[2.23430731e-083 1.00000000e+000]
 [2.07546422e-165 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [4.91365889e-135 1.00000000e+000]
 [1.53504734e-061 1.00000000e+000]]";"[[9.95111557e-001 4.88844323e-003]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.87644449e-173 1.00000000e+000]]"
0.67267;0.69514;"[0.72       0.66       0.64666667 0.68666667 0.69333333 0.64666667
 0.66666667 0.62       0.74       0.64666667]";"[0.72571429 0.68       0.73142857 0.65714286 0.68       0.70857143
 0.72285714 0.68285714 0.69714286 0.66571429]";[ 1  1  1 ... -1  1  1];"[[2.43010492e-074 1.00000000e+000]
 [5.46961356e-162 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.21123315e-154 1.00000000e+000]
 [9.98558594e-053 1.00000000e+000]]";"[[1.00000000e+000 6.22288745e-013]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [5.55003866e-164 1.00000000e+000]]"
0.694;0.716;"[0.72       0.73333333 0.68       0.65333333 0.72       0.65333333
 0.68666667 0.63333333 0.77333333 0.68666667]";"[0.74285714 0.73428571 0.73142857 0.68       0.68857143 0.73142857
 0.74285714 0.70571429 0.72285714 0.68      ]";[-1  1  1 ... -1  1 -1];"[[1.00000000e+000 8.84643131e-053]
 [1.19685879e-014 1.00000000e+000]
 [1.25007221e-148 1.00000000e+000]
 ...
 [1.00000000e+000 1.79795255e-282]
 [3.82125484e-003 9.96178745e-001]
 [1.00000000e+000 2.60998585e-051]]";"[[1.00000000e+00 3.99462658e-60]
 [0.00000000e+00 1.00000000e+00]
 [1.00000000e+00 0.00000000e+00]
 ...
 [1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.00000000e+00]
 [1.55704092e-65 1.00000000e+00]]"
0.69133;0.71514;"[0.72       0.73333333 0.67333333 0.64666667 0.70666667 0.65333333
 0.68666667 0.63333333 0.76666667 0.69333333]";"[0.74571429 0.73714286 0.73714286 0.68       0.68       0.73428571
 0.73428571 0.71142857 0.72       0.67142857]";[-1  1  1 ... -1 -1 -1];"[[1.00000000e+000 8.48461043e-060]
 [1.53294310e-014 1.00000000e+000]
 [2.81018525e-152 1.00000000e+000]
 ...
 [1.00000000e+000 1.48911091e-289]
 [1.00000000e+000 5.06099897e-011]
 [1.00000000e+000 4.48527344e-055]]";"[[1.00000000e+00 3.05647958e-65]
 [0.00000000e+00 1.00000000e+00]
 [1.00000000e+00 0.00000000e+00]
 ...
 [1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.00000000e+00]
 [1.35107471e-57 1.00000000e+00]]"
0.67;0.694;"[0.69333333 0.68       0.64666667 0.67333333 0.68666667 0.60666667
 0.66       0.7        0.66666667 0.68666667]";"[0.71142857 0.74857143 0.65714286 0.65428571 0.71428571 0.68
 0.7        0.69428571 0.70571429 0.67428571]";[-1 -1  1 ... -1  1 -1];"[[9.99777430e-01 2.22570444e-04]
 [1.00000000e+00 7.82159167e-11]
 [3.70000346e-29 1.00000000e+00]
 ...
 [9.99995790e-01 4.20977766e-06]
 [7.44272740e-06 9.99992557e-01]
 [1.00000000e+00 8.40874816e-16]]";"[[1.00000000e+00 3.92541857e-16]
 [2.69168810e-09 9.99999997e-01]
 [6.25670280e-17 1.00000000e+00]
 ...
 [1.00000000e+00 0.00000000e+00]
 [1.08279348e-10 1.00000000e+00]
 [9.99999790e-01 2.10121081e-07]]"
0.66267;0.68771;"[0.68666667 0.7        0.67333333 0.65333333 0.68       0.59333333
 0.66       0.68666667 0.65333333 0.64      ]";"[0.69428571 0.73142857 0.67428571 0.67142857 0.7        0.68
 0.67428571 0.68285714 0.68571429 0.68285714]";[-1 -1  1 ... -1  1 -1];"[[9.97149158e-01 2.85084228e-03]
 [9.99999270e-01 7.30185365e-07]
 [1.32923314e-24 1.00000000e+00]
 ...
 [9.99991870e-01 8.13017894e-06]
 [6.32587102e-07 9.99999367e-01]
 [1.00000000e+00 9.36059659e-17]]";"[[1.00000000e+00 3.06046085e-17]
 [5.10092782e-15 1.00000000e+00]
 [5.97769980e-18 1.00000000e+00]
 ...
 [1.00000000e+00 0.00000000e+00]
 [4.72181218e-11 1.00000000e+00]
 [9.99999985e-01 1.50576469e-08]]"
0.668;0.652;"[0.68666667 0.65333333 0.69333333 0.67333333 0.68666667 0.67333333
 0.68666667 0.62       0.70666667 0.6       ]";"[0.62571429 0.62857143 0.67142857 0.61714286 0.65142857 0.70571429
 0.63714286 0.66       0.64285714 0.68      ]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.66867;0.65086;"[0.68666667 0.65333333 0.69333333 0.67333333 0.68666667 0.67333333
 0.7        0.61333333 0.70666667 0.6       ]";"[0.62571429 0.62857143 0.66571429 0.62       0.65142857 0.69714286
 0.64       0.65714286 0.64285714 0.68      ]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.65933;0.66686;"[0.68       0.66       0.64666667 0.68       0.67333333 0.65333333
 0.68666667 0.6        0.71333333 0.6       ]";"[0.63714286 0.64571429 0.7        0.63714286 0.66285714 0.72285714
 0.65428571 0.66285714 0.67142857 0.67428571]";[ 1 -1  1 ... -1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.66;0.66771;"[0.68       0.66       0.65333333 0.68666667 0.66666667 0.66666667
 0.68       0.58666667 0.72       0.6       ]";"[0.63714286 0.63714286 0.70285714 0.63714286 0.66571429 0.72571429
 0.64857143 0.66285714 0.67428571 0.68571429]";[ 1 -1  1 ... -1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.66333;0.69257;"[0.7        0.64       0.63333333 0.7        0.66       0.67333333
 0.66666667 0.63333333 0.70666667 0.62      ]";"[0.69428571 0.68       0.72285714 0.64857143 0.68571429 0.71714286
 0.70571429 0.69142857 0.7        0.68      ]";[ 1  1  1 ... -1  1  1];"[[5.03033756e-084 1.00000000e+000]
 [2.41921302e-147 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 4.09510060e-283]
 [2.74461647e-151 1.00000000e+000]
 [1.26114185e-104 1.00000000e+000]]";"[[6.08439978e-044 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.76761374e-207 1.00000000e+000]]"
0.67533;0.69286;"[0.70666667 0.64666667 0.64       0.71333333 0.68666667 0.66666667
 0.67333333 0.64       0.74666667 0.63333333]";"[0.70285714 0.68       0.72       0.65428571 0.67428571 0.71142857
 0.71714286 0.68285714 0.70857143 0.67714286]";[ 1  1  1 ... -1  1  1];"[[5.02184671e-067 1.00000000e+000]
 [1.32830047e-145 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [7.79740927e-141 1.00000000e+000]
 [1.45018467e-094 1.00000000e+000]]";"[[3.41916430e-024 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [4.00988671e-198 1.00000000e+000]]"
0.686;0.71114;"[0.71333333 0.72       0.68       0.66       0.69333333 0.66
 0.66       0.64       0.76       0.67333333]";"[0.74571429 0.72       0.73428571 0.67428571 0.67142857 0.71714286
 0.75142857 0.7        0.71428571 0.68285714]";[-1  1  1 ... -1  1 -1];"[[1.00000000e+000 8.63388843e-041]
 [3.41217082e-010 1.00000000e+000]
 [4.27641857e-130 1.00000000e+000]
 ...
 [1.00000000e+000 1.67307742e-226]
 [5.60838960e-034 1.00000000e+000]
 [1.00000000e+000 2.87885802e-011]]";"[[1.00000000e+000 1.49900885e-034]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.91615264e-268 1.00000000e+000]
 [2.40484094e-096 1.00000000e+000]]"
0.68733;0.70543;"[0.70666667 0.72       0.66666667 0.65333333 0.72       0.66
 0.68       0.63333333 0.74666667 0.68666667]";"[0.74571429 0.71428571 0.73142857 0.65428571 0.66571429 0.72
 0.73714286 0.69428571 0.71714286 0.67428571]";[-1  1  1 ... -1  1 -1];"[[1.00000000e+000 7.04608767e-057]
 [1.09841265e-010 1.00000000e+000]
 [1.09007942e-135 1.00000000e+000]
 ...
 [1.00000000e+000 5.32379302e-238]
 [5.05837437e-003 9.94941626e-001]
 [1.00000000e+000 1.03206592e-018]]";"[[1.00000000e+000 3.26592114e-044]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [3.88142770e-282 1.00000000e+000]
 [1.08804930e-087 1.00000000e+000]]"
0.65867;0.69171;"[0.66666667 0.66666667 0.64666667 0.66666667 0.64666667 0.59333333
 0.66       0.71333333 0.67333333 0.65333333]";"[0.71428571 0.74       0.65714286 0.65714286 0.69142857 0.68
 0.70571429 0.69714286 0.70857143 0.66571429]";[-1 -1  1 ... -1  1 -1];"[[9.87940241e-01 1.20597590e-02]
 [1.00000000e+00 2.23896735e-20]
 [7.56103872e-33 1.00000000e+00]
 ...
 [9.52672564e-01 4.73274361e-02]
 [4.35466877e-05 9.99956453e-01]
 [1.00000000e+00 2.71920812e-12]]";"[[9.99999995e-01 4.83464493e-09]
 [9.56346840e-01 4.36531598e-02]
 [1.26228695e-17 1.00000000e+00]
 ...
 [1.00000000e+00 0.00000000e+00]
 [1.38415906e-09 9.99999999e-01]
 [9.99999836e-01 1.63615176e-07]]"
0.65133;0.68371;"[0.67333333 0.66666667 0.66666667 0.64666667 0.67333333 0.57333333
 0.65333333 0.67333333 0.64       0.64666667]";"[0.69714286 0.73428571 0.67428571 0.65142857 0.69714286 0.67142857
 0.67714286 0.68857143 0.66857143 0.67714286]";[ 1 -1  1 ... -1  1 -1];"[[1.93651922e-01 8.06348078e-01]
 [9.99999999e-01 5.10344760e-10]
 [7.83751866e-24 1.00000000e+00]
 ...
 [9.95889968e-01 4.11003188e-03]
 [3.03693735e-07 9.99999696e-01]
 [1.00000000e+00 3.94564823e-13]]";"[[9.99999995e-01 4.79621092e-09]
 [8.80882834e-15 1.00000000e+00]
 [9.21161398e-20 1.00000000e+00]
 ...
 [1.00000000e+00 0.00000000e+00]
 [4.73492584e-11 1.00000000e+00]
 [1.00000000e+00 1.90895311e-10]]"
0.65267;0.63971;"[0.67333333 0.63333333 0.66666667 0.68       0.66666667 0.64666667
 0.66       0.62       0.68       0.6       ]";"[0.62285714 0.62285714 0.64285714 0.62285714 0.67142857 0.66285714
 0.63428571 0.64       0.62571429 0.65142857]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.65267;0.64;"[0.67333333 0.63333333 0.66666667 0.68       0.66666667 0.64666667
 0.66       0.62       0.68       0.6       ]";"[0.62285714 0.62285714 0.64285714 0.62571429 0.67142857 0.66285714
 0.63428571 0.64       0.62571429 0.65142857]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.64867;0.65114;"[0.67333333 0.63333333 0.66       0.67333333 0.66       0.64666667
 0.66       0.58666667 0.69333333 0.6       ]";"[0.62571429 0.63142857 0.66       0.62285714 0.68       0.68
 0.65142857 0.65714286 0.64285714 0.66      ]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.648;0.65086;"[0.67333333 0.63333333 0.66       0.67333333 0.66       0.64666667
 0.66       0.58       0.69333333 0.6       ]";"[0.62571429 0.63142857 0.66       0.62285714 0.68       0.68
 0.65142857 0.65428571 0.64285714 0.66      ]";[ 1 -1  1 ...  1  1  1];"[[0. 1.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [0. 1.]
 [0. 1.]]";"[[0. 1.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0.656;0.692;"[0.68666667 0.66       0.64       0.66666667 0.67333333 0.65333333
 0.64       0.62       0.70666667 0.61333333]";"[0.70857143 0.67428571 0.71428571 0.66571429 0.68285714 0.70571429
 0.71428571 0.68571429 0.68571429 0.68285714]";[ 1  1  1 ... -1  1  1];"[[1.02123121e-108 1.00000000e+000]
 [1.06906285e-137 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 3.50967897e-146]
 [1.87765704e-179 1.00000000e+000]
 [1.81507408e-063 1.00000000e+000]]";"[[4.88384759e-195 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.80220711e-181 1.00000000e+000]]"
0.65667;0.69229;"[0.68       0.66666667 0.64       0.66666667 0.66666667 0.65333333
 0.64       0.62666667 0.71333333 0.61333333]";"[0.71428571 0.67714286 0.71428571 0.66       0.68571429 0.70857143
 0.71142857 0.68571429 0.68571429 0.68      ]";[ 1  1  1 ... -1  1  1];"[[8.35809755e-105 1.00000000e+000]
 [3.90076212e-134 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 4.93304669e-149]
 [8.11661305e-182 1.00000000e+000]
 [1.58649326e-059 1.00000000e+000]]";"[[2.39290525e-196 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.02887189e-179 1.00000000e+000]]"
0.67533;0.72457;"[0.68666667 0.74       0.68666667 0.65333333 0.67333333 0.64
 0.64       0.60666667 0.74666667 0.68      ]";"[0.76857143 0.74857143 0.75142857 0.68       0.68857143 0.72857143
 0.75428571 0.72571429 0.71428571 0.68571429]";[-1  1  1 ... -1  1 -1];"[[1.00000000e+000 3.58794354e-032]
 [3.02353846e-007 9.99999698e-001]
 [4.70221496e-225 1.00000000e+000]
 ...
 [1.00000000e+000 1.04179540e-185]
 [3.92003409e-036 1.00000000e+000]
 [1.00000000e+000 1.87510205e-058]]";"[[8.13470836e-071 1.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.26227110e-222 1.00000000e+000]
 [4.60882507e-054 1.00000000e+000]]"
